Parent Category,Category,Parent Category Description,Category Description,meta:parent:texonomy_featured_image,meta:parent:_faq_template,meta:texonomy_featured_image,meta:_faq_template
Electronics & Gadgets Repair,Desktop Services,,,https://s3.ap-south-1.amazonaws.com/cdn-shebaxyz/images/categories_images/banners/1619428087_desktopservices.jpg,,https://s3.ap-south-1.amazonaws.com/cdn-shebaxyz/images/categories_images/banners/1619428087_desktopservices.jpg,
Cleaning & Pest Control,Home Cleaning,,,https://s3.ap-south-1.amazonaws.com/cdn-shebaxyz/images/categories_images/banners/1617855908_homecleaning.jpg,,https://s3.ap-south-1.amazonaws.com/cdn-shebaxyz/images/categories_images/banners/1617855908_homecleaning.jpg,
